2025-06-24 05:41:18,082 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\timeout.py, line 130: return func(*args, **kwargs)
2025-06-24 05:41:18,083 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\grpc_helpers.py, line 78: raise exceptions.from_grpc_error(exc) from exc
2025-06-24 05:41:18,083 | ERROR    |  django.request | log_response         | Line 241  | Internal Server Error: /IDA/upload/
2025-06-24 05:43:52,212 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 05:43:52,831 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: abc
2025-06-24 05:44:11,749 | INFO     | ImageApp1.views | post                 | Line 294  | Upload request received
2025-06-24 05:44:12,029 | ERROR    | ImageApp1.views | post                 | Line 508  | 500
2025-06-24 05:44:12,030 | ERROR    | ImageApp1.views | post                 | Line 509  | Error while processing document.
2025-06-24 05:44:12,031 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py, line 439: response = model.generate_content([data_part, REIMBURSEMENT_EXTRACTION_PROMPT])
2025-06-24 05:44:12,032 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\generativeai\generative_models.py, line 331: response = self._client.generate_content(
2025-06-24 05:44:12,032 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\ai\generativelanguage_v1beta\services\generative_service\client.py, line 835: response = rpc(
2025-06-24 05:44:12,032 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\gapic_v1\method.py, line 131: return wrapped_func(*args, **kwargs)
2025-06-24 05:44:12,033 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 294: return retry_target(
2025-06-24 05:44:12,033 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 156: next_sleep = _retry_error_helper(
2025-06-24 05:44:12,034 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_base.py, line 214: raise final_exc from source_exc
2025-06-24 05:44:12,034 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 147: result = target()
2025-06-24 05:44:12,034 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\timeout.py, line 130: return func(*args, **kwargs)
2025-06-24 05:44:12,035 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\grpc_helpers.py, line 78: raise exceptions.from_grpc_error(exc) from exc
2025-06-24 05:44:12,036 | ERROR    |  django.request | log_response         | Line 241  | Internal Server Error: /IDA/upload/
2025-06-24 05:44:14,187 | INFO     | ImageApp1.views | post                 | Line 294  | Upload request received
2025-06-24 05:44:14,450 | ERROR    | ImageApp1.views | post                 | Line 508  | 500
2025-06-24 05:44:14,451 | ERROR    | ImageApp1.views | post                 | Line 509  | Error while processing document.
2025-06-24 05:44:14,452 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py, line 439: response = model.generate_content([data_part, REIMBURSEMENT_EXTRACTION_PROMPT])
2025-06-24 05:44:14,452 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\generativeai\generative_models.py, line 331: response = self._client.generate_content(
2025-06-24 05:44:14,453 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\ai\generativelanguage_v1beta\services\generative_service\client.py, line 835: response = rpc(
2025-06-24 05:44:14,453 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\gapic_v1\method.py, line 131: return wrapped_func(*args, **kwargs)
2025-06-24 05:44:14,453 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 294: return retry_target(
2025-06-24 05:44:14,454 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_unary.py, line 156: next_sleep = _retry_error_helper(
2025-06-24 05:44:14,454 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in C:\Sujata\Python39\lib\site-packages\google\api_core\retry\retry_base.py, line 214: raise final_exc from source_exc
